reach,cfs,hab,site,terrain,rest_desc,rest_type,n_rest_features,size,lin_ft,terr_sq_ft,terr_ac,terr_less_rest,terr_inund_notes
San Acacia,4000,4,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-4,
San Acacia,5000,4.4,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-4.4,
San Acacia,6000,4.8,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-4.8,
San Acacia,7000,5.1,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-5.1,
San Acacia,0,0,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,0,
San Acacia,300,0,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,0,
San Acacia,500,0.3,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-0.3,
San Acacia,1000,2.7,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-2.7,
San Acacia,2000,3.5,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-3.5,
San Acacia,2780,3.8,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-3.8,
San Acacia,4000,4.1,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-4.1,
San Acacia,5000,4.5,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-4.5,
San Acacia,6000,4.9,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-4.9,
San Acacia,7000,5.1,103,PR,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-5.1,
San Acacia,0,0,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,0,0,0,
San Acacia,300,0,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,0,0,0,
San Acacia,500,0.1,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,0,0,-0.1,
San Acacia,1000,1.1,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,51498,1.2,0.1,
San Acacia,2000,2.1,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,98895,2.3,0.2,
San Acacia,2780,2.3,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,116087,2.7,0.4,
San Acacia,4000,2.5,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,130557,3,0.5,
San Acacia,5000,2.7,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,146825,3.4,0.7,
San Acacia,6000,2.7,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,162782,3.7,1,
San Acacia,7000,2.8,104.5,AB,regraded arroyo confluence,Arroyo confluence,1,3.2,365,177487,4.1,1.3,
San Acacia,0,0,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,0,0,0,
San Acacia,300,0,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,0,0,0,
San Acacia,500,0.2,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,0,0,-0.2,
San Acacia,1000,0.8,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,36987,0.8,0,
San Acacia,2000,2,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,94928,2.2,0.2,
San Acacia,2780,2.3,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,113673,2.6,0.3,
San Acacia,4000,2.4,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,126495,2.9,0.5,
San Acacia,5000,2.6,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,146166,3.4,0.8,
San Acacia,6000,2.8,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,162706,3.7,0.9,
San Acacia,7000,2.9,104.5,PR,regraded arroyo confluence,Arroyo confluence,1,3.2,365,181813,4.2,1.3,
San Acacia,0,0,112,AB,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,0,0,0,
San Acacia,800,0,112,AB,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,0,0,0,
San Acacia,1000,0,112,AB,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,532,0,0,
San Acacia,2000,0.9,112,AB,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,16501,1.5,0.6,
San Acacia,3000,1.2,112,AB,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,21420,2,0.8,
San Acacia,4000,1.3,112,AB,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,27109,2.5,1.2,
