Date,Color,Side,Location,Number,Agency,Facility,Lot Number,Source of fish,Age,SL (mm),Release,Reach,Notes,Mark,C,L,S,Year,RM,lat,long,Truck temp,Comments
12/8/21,none,,,664,FRO,LLSMR,unspawned wildcaught as eggs 2020,LLSMR,1,,Brown's Arroyo,3,hard release,N 2021,N,,,2021,95.7,34.001404,-106.870411,,
3/7/22,none,,,"1,042",FRO,Dexter,"PIT tagged, no VIE",Dexter,1-2,62,RM 118.9,2,hard release,N 2022,N,,,2022,118.9,34.275162,-106.855906,,experimental PIT tagged fish
3/7/22,none,,,"1,011",FRO,Dexter,"PIT tagged, no VIE",Dexter,1-2,62,Jarales Bridge,2,hard release,N 2022,N,,,2022,141.3,34.544047,-106.763675,,experimental PIT tagged fish
3/7/22,none,,,940,FRO,Dexter,"PIT tagged, no VIE",Dexter,1-2,62,Peralta area,2,hard release,N 2022,N,,,2022,154.5,34.713442,-106.747205,,experimental PIT tagged fish
11/22/22,red,left,predorsal,"35,990",FRO,Dexter,CS2022,Dexter,0,47,Alameda Bridge,1,hard release,RLD 2022,R,L,D,2022,191.1,35.193578,-106.644815,,
11/22/22,red,left,predorsal,"28,690",FRO,LLSMR,CS2022,LLSMR,0,44,Upstream of Belen,2,hard release,RLD 2022,R,L,D,2022,151.2,34.668549,-106.745165,,Unable to access Jarales or Peralta
11/22/22,red,left,predorsal,"39,324",FRO,Dexter,CS2022,Dexter,0,47,Neal Cupp,3,hard release,RLD 2022,R,L,D,2022,92.3,33.956238,-106.850281,,
12/5/22,red,left,predorsal,"22,500",FRO,BioPark,,BioPark,0,35,Central bridge,1,hard release,RLD 2022,R,L,D,2022,182.8,35.088992,-106.680414,,
1/26/23,red,left,predorsal,"13,750",FRO,BioPark,,BioPark,0,35,Sevilleta,2,hard release,RLD 2023,R,L,D,2023,118.7,34.273511,-106.858077,,"Late, smaller fish"
2/13/23,red,left,predorsal,"4,736",FRO,LLSMR,"Produced at BioPark, tranferred in July",BioPark,0,,4 miles below SADD,3,h,RLD 2023,R,L,D,2023,111.9,34.216021,-106.88637,,"Tiny fish, many marked incorrectly"
3/16/23,red,left,predorsal,"13,750",FRO,BioPark,,BioPark,0,35,4 miles below SADD,3,hard,RLD 2023,R,L,D,2023,111.9,34.216021,-106.88637,,"Later, smaller fish"
11/28/23,red,right,predorsal,"10,484",FRO,Dexter,,Dexter,0,45,North Boundary BDANWR,3,hard,RRD 2023,R,R,D,2023,86.3,33.869733,-106.847961,,
12/14/23,red,right,predorsal,562,FRO,BioPark,,BioPark,0,40,North Boundary BDANWR,3,hard,RRD 2023,R,R,D,2023,86.3,33.869733,-106.847961,,
11/16/23,red,right,predorsal,"35,438",FRO,BioPark,,BioPark,0,40,North Boundary BDANWR,3,hard,RRD 2023,R,R,D,2023,86.3,33.869733,-106.847961,,
10/24/24,red,left,predorsal,"25,000",FRO,BioPark,ABP24-2CS,BioPark,0,45,Central bridge,1,hard,RLD 2024,R,L,D,2024,182.8,35.088992,-106.680414,,
11/25/24,red,left,predorsal,"25,145",FRO,Dexter,24CSDX,Dexter,0,49,Alameda Bridge,1,hard,RLD 2024,R,L,D,2024,191.1,35.193578,-106.644815,,
11/25/24,red,left,predorsal,"65,344",FRO,Dexter,24CSDX,Dexter,0,49,Sevilleta,2,hard,RLD 2024,R,L,D,2024,118.7,34.273511,-106.858077,,
11/26/24,red,left,predorsal,"25,000",FRO,BioPark,APB24-2CS,BioPark,0,45,Los Chaves,2,hard,RLD 2024,R,L,D,2024,155.6,34.727403,-106.738396,,
12/2/24,red,left,predorsal,"9,694",FRO,LLSMR,LLSMR24,LLSMR,0,45,Jarales Bridge,2,hard,RLD 2024,R,L,D,2024,141.3,34.544047,-106.763675,,
12/2/24,red,left,predorsal,"13,023",FRO,LLSMR,LLSMR23,LLSMR,1,55,Jarales Bridge,2,hard,RLD 2024,R,L,D,2024,141.3,34.544047,-106.763675,,
